timestamp,test_distance,target_id,x_mm,y_mm,z_mm
1777927892.7155042,1.0m,2,339,313,1082
1777927892.7704651,1.0m,2,345,315,1088
1777927892.8220851,1.0m,2,339,315,1089
1777927892.876719,1.0m,2,340,313,1082
1777927892.9294772,1.0m,2,344,311,1075
1777927892.9849741,1.0m,2,338,312,1080
1777927893.0410721,1.0m,2,336,312,1078
1777927893.089018,1.0m,2,341,311,1076
1777927893.14367,1.0m,2,340,310,1072
1777927893.197271,1.0m,2,334,312,1079
1777927893.252774,1.0m,2,342,312,1078
1777927893.3107588,1.0m,2,342,313,1079
1777927893.360673,1.0m,2,344,311,1077
1777927893.4139662,1.0m,2,338,311,1076
1777927893.4746208,1.0m,2,343,311,1077
1777927893.523232,1.0m,2,344,311,1075
1777927893.5734751,1.0m,2,341,315,1088
1777927893.629527,1.0m,2,339,312,1078
1777927893.685516,1.0m,2,344,311,1077
1777927893.740031,1.0m,2,345,311,1075
1777927893.788599,1.0m,2,336,310,1073
1777927893.847401,1.0m,2,339,311,1075
1777927893.898417,1.0m,2,345,310,1073
1777927893.952458,1.0m,2,339,310,1073
1777927894.008272,1.0m,2,344,311,1070
1777927894.055382,1.0m,2,347,313,1079
1777927894.1104069,1.0m,2,334,312,1075
1777927894.165644,1.0m,2,346,314,1082
1777927894.218844,1.0m,2,336,313,1083
1777927894.274256,1.0m,2,346,313,1076
1777927894.322038,1.0m,2,345,313,1082
1777927894.377238,1.0m,2,343,312,1078
1777927894.431241,1.0m,2,345,310,1071
1777927894.483556,1.0m,2,346,310,1074
1777927894.5422678,1.0m,2,345,311,1075
1777927894.591678,1.0m,2,342,310,1074
1777927894.649059,1.0m,2,344,310,1071
1777927894.707627,1.0m,2,342,309,1070
1777927894.755397,1.0m,2,344,309,1070
1777927894.807692,1.0m,2,342,310,1071
1777927894.861839,1.0m,2,339,311,1077
1777927894.917239,1.0m,2,344,311,1076
1777927894.972231,1.0m,2,342,315,1089
1777927895.021348,1.0m,2,342,311,1075
1777927895.075764,1.0m,2,342,312,1078
1777927895.130691,1.0m,2,342,312,1078
1777927895.183667,1.0m,2,343,311,1076
1777927895.239752,1.0m,2,338,311,1076
1777927895.288752,1.0m,2,340,310,1072
1777927895.3425999,1.0m,2,341,310,1074
1777927895.398091,1.0m,2,340,310,1073
1777927895.4522471,1.0m,2,342,310,1073
1777927895.507942,1.0m,2,342,310,1071
1777927895.559642,1.0m,2,341,310,1072
1777927895.613791,1.0m,2,340,310,1072
1777927895.67059,1.0m,2,340,310,1071
1777927895.721023,1.0m,2,342,311,1077
1777927895.776614,1.0m,2,341,310,1071
1777927895.828906,1.0m,2,344,311,1075
1777927895.882113,1.0m,2,339,309,1070
1777927895.938245,1.0m,2,341,311,1075
1777927895.98846,1.0m,2,341,310,1072
1777927896.043206,1.0m,2,338,311,1072
1777927896.0953228,1.0m,2,340,310,1071
1777927896.150323,1.0m,2,340,311,1071
1777927896.208671,1.0m,2,338,313,1076
1777927896.257088,1.0m,2,340,312,1073
1777927896.313619,1.0m,2,335,312,1074
1777927896.368751,1.0m,2,337,313,1076
1777927896.420071,1.0m,2,338,309,1065
1777927896.480382,1.0m,2,341,311,1072
1777927896.524516,1.0m,2,342,310,1074
1777927896.5803578,1.0m,2,338,311,1071
1777927896.641027,1.0m,2,344,311,1070
1777927896.688319,1.0m,2,337,313,1072
1777927896.74092,1.0m,2,340,313,1073
1777927896.7952461,1.0m,2,344,311,1070
1777927896.849024,1.0m,2,337,313,1077
1777927896.906433,1.0m,2,341,311,1071
1777927896.9546702,1.0m,2,345,312,1075
1777927897.0135932,1.0m,2,341,309,1065
1777927897.0637949,1.0m,2,341,308,1061
1777927897.120091,1.0m,2,340,310,1069
1777927897.176276,1.0m,2,342,314,1075
1777927897.222581,1.0m,2,342,311,1071
1777927897.280002,1.0m,2,341,312,1071
1777927897.3326862,1.0m,2,340,310,1071
1777927897.3871622,1.0m,2,345,309,1069
1777927897.443991,1.0m,2,343,310,1069
1777927897.49464,1.0m,2,339,310,1067
1777927897.5518951,1.0m,2,337,311,1066
1777927897.6076438,1.0m,2,340,312,1069
1777927897.655942,1.0m,2,335,312,1071
1777927897.707076,1.0m,2,340,311,1071
1777927897.76542,1.0m,2,342,311,1070
1777927897.817177,1.0m,2,340,310,1066
1777927897.873155,1.0m,2,344,309,1070
1777927897.9234712,1.0m,2,343,310,1069
1777927897.9797308,1.0m,2,338,309,1065
1777927898.03189,1.0m,2,343,310,1067
1777927898.084479,1.0m,2,339,310,1073
1777927898.14158,1.0m,2,346,313,1076
1777927898.188545,1.0m,2,335,312,1074
1777927898.2451031,1.0m,2,346,312,1078
1777927898.297164,1.0m,2,339,310,1069
1777927898.352501,1.0m,2,340,310,1069
1777927898.408371,1.0m,2,342,310,1074
1777927898.457361,1.0m,2,342,309,1065
1777927898.512127,1.0m,2,341,309,1070
1777927898.573743,1.0m,2,342,312,1075
1777927898.621264,1.0m,2,343,310,1067
1777927898.6741068,1.0m,2,339,309,1065
1777927898.72948,1.0m,2,342,310,1074
1777927898.780711,1.0m,2,343,309,1069
1777927898.834295,1.0m,2,341,310,1072
1777927898.889055,1.0m,2,342,313,1078
1777927898.941844,1.0m,2,341,312,1074
1777927898.995774,1.0m,2,344,312,1075
1777927899.051245,1.0m,2,342,312,1075
1777927899.106571,1.0m,2,339,312,1075
1777927899.1556852,1.0m,2,340,310,1069
1777927899.2129521,1.0m,2,345,309,1073
1777927899.267081,1.0m,2,341,310,1067
1777927899.320503,1.0m,2,343,308,1072
1777927899.375417,1.0m,2,344,311,1072
1777927899.4277818,1.0m,2,343,310,1066
1777927899.479371,1.0m,2,341,310,1067
1777927899.535681,1.0m,2,341,311,1071
1777927899.5872908,1.0m,2,343,312,1074
1777927899.642945,1.0m,2,344,311,1070
1777927899.696553,1.0m,2,342,312,1073
1777927899.749303,1.0m,2,340,313,1077
1777927899.804115,1.0m,2,346,313,1076
1777927899.853407,1.0m,2,345,312,1075
1777927899.911155,1.0m,2,344,312,1075
1777927899.9686248,1.0m,2,345,312,1075
1777927900.0184572,1.0m,2,346,312,1074
1777927900.076385,1.0m,2,344,313,1077
1777927900.126614,1.0m,2,338,312,1074
1777927900.1795452,1.0m,2,338,313,1076
1777927900.236009,1.0m,2,346,313,1077
1777927900.291397,1.0m,2,342,312,1075
1777927995.876537,1.5m,0,285,455,1574
1777927995.92975,1.5m,0,287,461,1586
1777927995.9906209,1.5m,0,289,458,1586
1777927996.039427,1.5m,0,284,459,1581
1777927996.097014,1.5m,0,284,456,1576
1777927996.1494248,1.5m,0,284,456,1579
1777927996.203072,1.5m,0,284,456,1576
1777927996.255784,1.5m,0,283,455,1574
1777927996.3049111,1.5m,0,284,457,1581
1777927996.359391,1.5m,0,281,453,1565
1777927996.415833,1.5m,0,284,455,1581
1777927996.471123,1.5m,0,286,456,1576
1777927996.526714,1.5m,0,284,454,1570
1777927996.578957,1.5m,0,285,455,1574
1777927996.629903,1.5m,0,286,455,1581
1777927996.687114,1.5m,0,289,453,1574
1777927996.738105,1.5m,0,287,452,1570
1777927996.792764,1.5m,0,286,454,1576
1777927996.847801,1.5m,0,284,454,1570
1777927996.901435,1.5m,0,284,450,1565
1777927996.958133,1.5m,0,284,454,1570
1777927997.005147,1.5m,0,285,454,1572
1777927997.0593421,1.5m,0,283,455,1574
1777927997.1180851,1.5m,0,282,454,1570
1777927997.1704519,1.5m,0,282,454,1570
1777927997.226419,1.5m,0,282,453,1567
1777927997.2764878,1.5m,0,281,454,1572
1777927997.329906,1.5m,0,283,457,1572
1777927997.387452,1.5m,0,283,455,1574
1777927997.43859,1.5m,0,283,457,1574
1777927997.4937532,1.5m,0,283,457,1572
1777927997.546504,1.5m,0,282,455,1567
1777927997.5997791,1.5m,0,284,454,1579
1777927997.6579998,1.5m,0,284,456,1576
1777927997.7064588,1.5m,0,280,453,1567
1777927997.759892,1.5m,0,283,453,1574
1777927997.81264,1.5m,0,283,454,1572
1777927997.869623,1.5m,0,284,456,1576
1777927997.9254,1.5m,0,281,453,1565
1777927997.976137,1.5m,0,283,454,1572
1777927998.030414,1.5m,0,283,454,1572
1777927998.08,1.5m,0,286,454,1576
1777927998.135954,1.5m,0,284,453,1567
1777927998.191742,1.5m,0,283,454,1572
1777927998.240618,1.5m,0,283,454,1572
1777927998.293198,1.5m,0,283,455,1574
1777927998.348225,1.5m,0,282,454,1570
1777927998.40316,1.5m,0,283,455,1574
1777927998.4583008,1.5m,0,281,456,1576
1777927998.508252,1.5m,0,282,454,1570
1777927998.562077,1.5m,0,283,454,1572
1777927998.623737,1.5m,0,281,454,1576
1777927998.674005,1.5m,0,280,456,1570
